run,subrun,event,x,y,z
5030,0,50,41.5099,0.0,997.2
5031,15,760,200.362,0.0,858.3
5031,16,811,171.723,0.0,596.7
5031,23,1194,208.218,0.0,791.4
5031,70,3538,84.3012,0.0,747.9
5031,109,5471,175.512,0.0,573.6
5031,111,5561,71.9876,0.0,472.8
5031,112,5611,192.004,0.0,693.6
5031,116,5814,5.57179,0.0,748.5
5034,20,1001,81.1253,0.0,588.3
5034,20,1006,240.702,0.0,984.6
5034,60,3031,36.8853,0.0,627.6
5034,77,3888,61.5683,0.0,534.6
5034,84,4232,196.684,0.0,532.2
5036,11,568,179.69,0.0,501.6
5036,34,1714,123.861,0.0,500.4
5036,48,2435,69.2574,0.0,957.6
5038,19,957,117.621,0.0,977.1
5038,19,977,3.39879,0.0,641.1
5038,24,1205,94.6648,0.0,758.1
5038,27,1361,178.297,0.0,892.5
5038,27,1396,15.9353,0.0,174.3
5038,40,2005,98.5093,0.0,448.5
5038,59,2993,200.362,0.0,216
5039,5,287,112.996,0.0,395.7
5041,59,2958,86.92,0.0,297.9
5041,60,3035,0.111436,0.0,570.3
5041,67,3352,207.326,0.0,572.4
5044,54,2725,189.942,0.0,947.1
5044,64,3247,273.241,0.0,389.7
5044,69,3487,251.344,0.0,751.2
5044,96,4813,196.684,0.0,590.7
5044,96,4827,96.5035,0.0,162.6
5044,98,4929,175.957,0.0,519.9
5044,98,4930,105.864,0.0,194.7
5044,104,5236,35.548,0.0,174.3
5046,32,1650,202.925,0.0,616.2
5046,65,3294,46.4688,0.0,929.4
5047,11,553,154.06,0.0,678
5049,2,126,169.438,0.0,474.6
5049,4,202,45.5773,0.0,393.3
5049,64,3205,97.2278,0.0,177.9
5049,75,3786,38.2782,0.0,451.8
5051,92,4611,263.88,0.0,222
5051,154,7705,220.587,0.0,983.1
5051,190,9508,62.0698,0.0,652.5
5055,8,439,57.4452,0.0,148.5
5055,58,2912,39.5597,0.0,531
5055,59,2991,162.306,0.0,513.6
5055,60,3037,100.014,0.0,611.7
5059,33,1674,15.991,0.0,524.7
5060,76,3826,73.2134,0.0,790.2
5060,99,4988,106.923,0.0,796.5
5061,0,5,163.922,0.0,936.3
5061,1,76,176.236,0.0,538.2
5061,59,2972,157.905,0.0,311.7
5061,87,4376,246.886,0.0,682.5
5061,96,4809,117.008,0.0,336.9
5062,11,590,139.351,0.0,937.5
5062,11,600,36.6067,0.0,173.4
5062,13,654,151.33,0.0,622.5
5062,13,687,22.3429,0.0,486
5063,6,326,168.937,0.0,790.2
5063,28,1447,150.271,0.0,170.1
5064,0,48,201.253,0.0,974.4
5064,1,93,72.5448,0.0,785.1
5065,3,163,65.8586,0.0,465.3
5065,11,554,124.307,0.0,566.7
5065,17,887,33.7651,0.0,571.8
5065,22,1141,127.037,0.0,178.5
5065,26,1315,241.872,0.0,914.7
5068,49,2485,25.4631,0.0,478.5
5068,74,3725,261.874,0.0,171.9
5069,0,11,86.0285,0.0,445.5
5069,0,48,8.692,0.0,389.4
5069,4,241,255.077,0.0,504
5069,16,808,192.283,0.0,472.2
5069,17,853,123.025,0.0,141.9
5070,24,1217,186.989,0.0,310.5
5070,56,2830,48.9761,0.0,151.8
5071,17,859,92.5475,0.0,173.7
5071,17,877,220.81,0.0,959.7
5071,18,944,137.456,0.0,446.7
5071,35,1789,129.321,0.0,534.9
5071,62,3109,91.1546,0.0,316.5
5071,64,3230,268.783,0.0,901.2
5074,8,418,218.526,0.0,1002
5074,26,1326,103.357,0.0,609.6
5075,7,375,39.7826,0.0,960.6
5075,9,463,237.916,0.0,205.5
5075,12,625,185.318,0.0,455.1
5075,12,637,201.699,0.0,919.2
5075,45,2293,54.8265,0.0,313.5
5076,1,60,42.2342,0.0,357.3
5077,39,1980,66.7501,0.0,930.9
5078,30,1522,2.11728,0.0,845.4
5078,63,3195,253.405,0.0,950.4
5079,7,398,154.506,0.0,978.6
5079,10,544,46.4688,0.0,934.5
5079,11,580,111.213,0.0,460.8
5083,3,169,0.780051,0.0,475.5
5083,3,177,236.69,0.0,865.5
5084,13,688,143.752,0.0,644.7
5084,22,1124,-4.73603,0.0,438.3
5084,40,2030,114.11,0.0,463.8
5084,42,2147,13.5952,0.0,783.9
5084,44,2250,160.523,0.0,538.8
5084,50,2533,15.7682,0.0,506.1
5084,118,5912,135.339,0.0,534.3
5084,119,5995,128.486,0.0,960
5086,18,918,216.297,0.0,628.5
5086,19,970,136.398,0.0,930
5086,33,1692,214.514,0.0,587.4
5086,42,2135,182.198,0.0,882.9
5086,43,2155,263.156,0.0,533.4
5086,46,2333,236.077,0.0,473.4
5086,48,2427,-0.334308,0.0,323.1
5086,60,3005,222.036,0.0,958.5
5086,60,3011,193.23,0.0,130.2
5086,61,3053,187.324,0.0,940.8
5089,0,5,97.785,0.0,432
5089,0,18,192.896,0.0,537.3
5089,2,145,218.47,0.0,522.3
5089,35,1768,251.957,0.0,502.5
5089,37,1877,7.24333,0.0,693.9
5090,10,531,137.345,0.0,1001.1
5090,46,2303,77.4479,0.0,573.9
5090,46,2334,151.999,0.0,966.9
5090,48,2441,273.575,0.0,625.8
5090,60,3030,190.834,0.0,957
5090,64,3229,81.4039,0.0,545.4
5090,78,3931,240.423,0.0,632.7
5090,79,3976,212.285,0.0,918.9
5090,140,7009,11.7565,0.0,256.2
5090,176,8806,227.162,0.0,498.6
5090,178,8905,42.9585,0.0,571.5
5090,183,9174,255.077,0.0,1002
5091,0,28,134.67,0.0,224.1
5091,1,82,225.602,0.0,86.7
5091,26,1342,142.471,0.0,618
5092,3,154,17.5512,0.0,496.5
5092,22,1117,228.388,0.0,501.3
5092,53,2682,37.3867,0.0,39
5092,54,2716,13.6509,0.0,534
5092,54,2724,137.289,0.0,152.4
5092,151,7583,73.9377,0.0,174.6
5093,6,316,-7.52192,0.0,792.9
5093,8,413,-7.07618,0.0,398.1
5093,59,2997,152.611,0.0,799.2
5093,108,5418,219.139,0.0,513
5093,140,7008,219.027,0.0,163.5
5093,141,7082,19.5013,0.0,903.3
5093,143,7195,61.9026,0.0,585
5093,161,8083,4.12313,0.0,195.6
5093,164,8201,230.784,0.0,146.4
5095,0,23,120.406,0.0,514.5
5095,2,120,184.148,0.0,507.6
5095,4,209,188.382,0.0,596.4
5095,90,4534,205.376,0.0,987.9
5095,92,4610,112.885,0.0,934.8
5095,97,4899,215.016,0.0,164.7
5095,102,5135,74.272,0.0,696.3
5095,112,5637,28.3047,0.0,861
5099,19,998,214.235,0.0,996.9
5099,20,1006,194.567,0.0,922.2
