run,subrun,event,x,y,z
5709,60,3009,216.086,0.0,490.481
5709,69,3459,121.749,0.0,947.97
5712,14,737,196.919,0.0,519.307
5712,65,3258,197.718,0.0,888.6
5719,45,2271,130.389,0.0,387.836
5720,39,1992,81.2797,0.0,201.51
5720,46,2309,120.59,0.0,816.294
5722,26,1334,88.7787,0.0,744.474
5722,29,1486,68.2577,0.0,64.5976
5725,44,2216,41.6782,0.0,347.15
5725,75,3793,81.0857,0.0,830.213
5726,62,3131,114.688,0.0,782.361
5730,26,1346,73.916,0.0,213.184
5731,14,711,156.209,0.0,594.422
5733,0,33,111.308,0.0,753.999
5733,41,2079,60.2897,0.0,464.046
5733,73,3667,61.9656,0.0,329.92
5733,114,5731,57.3095,0.0,458.999
5733,120,6043,105.428,0.0,575.831
5741,2,107,102.308,0.0,754.884
5741,60,3047,229.54,0.0,557.05
5756,6,349,115.527,0.0,216.82
5758,40,2001,136.518,0.0,594.545
5762,52,2604,81.434,0.0,804.801
5762,101,5100,98.3522,0.0,279.764
5762,144,7237,157.378,0.0,870.447
5762,194,9735,155.479,0.0,174.217
5767,74,3721,109.448,0.0,793.551
5767,148,7421,86.1492,0.0,264.859
5767,199,10000,193.774,0.0,347.804
5769,10,529,96.8549,0.0,634.375
5769,33,1656,87.2431,0.0,494.011
5769,60,3016,81.0603,0.0,414.855
5772,2,133,24.2851,0.0,452.393
5772,16,832,173.736,0.0,127.134
5782,32,1630,85.344,0.0,571.845
5782,79,3981,67.9024,0.0,529.7
5782,132,6620,231.987,0.0,217.748
5783,67,3355,109.422,0.0,770.146
5804,87,4390,89.4174,0.0,440.084
5804,88,4449,157.556,0.0,348.655
5804,167,8393,120.002,0.0,786.914
5808,56,2812,103.648,0.0,841.782
5808,93,4691,42.8096,0.0,977.977
5808,102,5150,53.7718,0.0,345.033
5810,30,1514,141.248,0.0,387.437
5819,168,8402,157.165,0.0,107.273
5819,211,10559,118.596,0.0,624.234
5819,219,10984,130.253,0.0,300.888
5823,171,8596,73.6065,0.0,354.695
5823,226,11328,92.4819,0.0,825.8
5824,23,1196,59.0409,0.0,32.9452
5824,306,15306,194.719,0.0,794.539
5826,9,482,184.948,0.0,319.275
5827,53,2690,32.4979,0.0,692.218
5827,64,3201,211.696,0.0,452.221
5829,38,1926,204.179,0.0,175.596
5830,262,13136,109.007,0.0,34.19
5831,51,2588,77.3305,0.0,219.776
5831,66,3318,53.7507,0.0,794.753
5832,90,4535,70.9872,0.0,452.769
5845,75,3784,135.031,0.0,494.827
5849,71,3555,189.202,0.0,228.551
5850,14,726,157.134,0.0,466.45
5850,93,4683,179.52,0.0,452.931
5850,124,6250,55.7953,0.0,227.065
5851,3,195,94.5689,0.0,357.292
5860,21,1055,68.4838,0.0,953.95
5877,33,1699,100.955,0.0,776.719
5878,13,698,63.2243,0.0,193.169
5892,1,62,84.3222,0.0,983.625
5892,54,2703,203.43,0.0,915.081
5897,10,528,159.911,0.0,154.75
5899,43,2200,204.707,0.0,879.052
5904,40,2038,91.8299,0.0,587.994
5906,76,3850,181.721,0.0,903.251
5906,129,6455,101.32,0.0,379.815
5909,13,683,53.6563,0.0,785.874
5914,49,2467,197.713,0.0,213.289
5914,137,6875,198.002,0.0,741.626
5914,137,6890,109.63,0.0,56.3779
5921,75,3751,122.9,0.0,492.504
5921,78,3945,181.955,0.0,698.025
5925,73,3671,199.868,0.0,211.429
5929,21,1097,208.296,0.0,497.87
5929,31,1582,146.428,0.0,533.997
5929,52,2614,27.9954,0.0,498.136
5929,80,4009,78.0285,0.0,271.717
5930,12,650,65.1051,0.0,140.374
5933,64,3218,77.8238,0.0,881.062
5933,116,5831,54.1364,0.0,447.85
5933,215,10765,223.204,0.0,306.322
5937,12,602,36.3089,0.0,76.533
5940,25,1299,203.333,0.0,885.305
5940,39,1979,210.722,0.0,880.822
5941,14,732,111.573,0.0,467.437
5946,14,742,84.812,0.0,200.915
